#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:44:23      0  4121     5    90    70     0     0
 20221031   10:44:23      1  4121     5    93    70     0     0
 20221031   10:44:23      2  4121     5    92    69     0     0
 20221031   10:44:23      3  4121     5    93    68     0     0
 20221031   10:44:28      0  4121     5    92    69     0     0
 20221031   10:44:28      1  4121     5    93    69     0     0
 20221031   10:44:28      2  4121     5    93    70     0     0
 20221031   10:44:28      3  4121     5    89    66     0     0
 20221031   10:44:33      0  4121     5    92    70     0     0
 20221031   10:44:33      1  4121     5    92    68     0     0
 20221031   10:44:33      2  4121     5    93    69     0     0
 20221031   10:44:33      3  4121     5    93    67     0     0
 20221031   10:44:38      0  4121     5    92    71     0     0
 20221031   10:44:38      1  4121     5    90    66     0     0
 20221031   10:44:38      2  4121     5    91    68     0     0
 20221031   10:44:38      3  4121     5    93    70     0     0
 20221031   10:44:43      0  4121     5    92    71     0     0
 20221031   10:44:43      1  4121     5    93    68     0     0
 20221031   10:44:43      2  4121     5    93    69     0     0
 20221031   10:44:43      3  4121     5    90    66     0     0
 20221031   10:44:48      0  4121     5     0     0     0     0
 20221031   10:44:48      1  4121     5     0     0     0     0
 20221031   10:44:48      2  4121     5     0     0     0     0
 20221031   10:44:48      3  4121     5     0     0     0     0
 20221031   10:44:53      0  4121     5     7     0     0     0
 20221031   10:44:53      1  4121     5     0     0     0     0
 20221031   10:44:53      2  4121     5     0     0     0     0
 20221031   10:44:53      3  4121     5     0     0     0     0
 20221031   10:44:58      0  4121     5     0     0     0     0
 20221031   10:44:58      1  4121     5   100     0     0     0
 20221031   10:44:58      2  4121     5   100     0     0     0
 20221031   10:44:58      3  4121     5   100     0     0     0
 20221031   10:45:03      0  4121     5     0     0     0     0
 20221031   10:45:03      1  4121     5   100     0     0     0
 20221031   10:45:03      2  4121     5   100     0     0     0
 20221031   10:45:03      3  4121     5   100     0     0     0
 20221031   10:45:08      0  4121     5    91    71     0     0
 20221031   10:45:08      1  4121     5    93    70     0     0
 20221031   10:45:08      2  4121     5    90    69     0     0
 20221031   10:45:08      3  4121     5    88    66     0     0
 20221031   10:45:13      0  4121     5    92    72     0     0
 20221031   10:45:13      1  4121     5    93    70     0     0
 20221031   10:45:13      2  4121     5    92    71     0     0
 20221031   10:45:13      3  4121     5    88    67     0     0
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:45:18      0  4121     5    86    64     0     0
