utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
83 %, 54 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 67 %, 15360 MiB, 1952 MiB, 12957 MiB
83 %, 64 %, 15360 MiB, 1952 MiB, 12957 MiB
83 %, 43 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
56 %, 5 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 36 %, 15360 MiB, 1952 MiB, 12957 MiB
97 %, 33 %, 15360 MiB, 1952 MiB, 12957 MiB
77 %, 18 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
13 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
9 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
